hour,member_casual,total_trips_hour,mean_trip_time_hour,sum_trip_time_hour
0,casual,5690,36.6083216168717,208301.35
0,member,3548,14.021923149192,49749.7833333333
1,casual,4133,45.5297886926365,188174.616666667
1,member,2379,15.9558427910887,37958.95
2,casual,2707,34.5871074990765,93627.3
2,member,1342,12.5653253849975,16862.6666666667
3,casual,1481,43.9634031060095,65109.8
3,member,791,15.1110408765276,11952.8333333333
4,casual,1023,53.5748941023135,54807.1166666667
4,member,924,13.6622835497836,12623.95
5,casual,1304,19.503668200409,25432.7833333333
5,member,3279,11.6471790179933,38191.1
6,casual,2755,22.3705202661827,61630.7833333333
6,member,8694,11.7749923318764,102371.783333333
7,casual,4895,20.8633299284985,102126
7,member,16546,11.8131512147951,195460.4
8,casual,6956,22.0314093348668,153250.483333333
8,member,19467,11.844362254071,230574.2
9,casual,8108,27.6873787206052,224489.266666667
9,member,14268,12.3659961685824,176438.033333333
10,casual,11042,39.1675783372577,432488.4
10,member,13836,13.131508383926,181687.55
11,casual,14205,32.5842801830341,462859.7
11,member,16694,13.4644592867697,224775.683333333
12,casual,16926,30.7890237898302,521135.016666667
12,member,19462,13.3360548761689,259546.3
13,casual,18260,32.0312431544359,584890.5
13,member,18986,13.0379112679518,247537.783333333
14,casual,18690,32.6568566078117,610356.65
14,member,18907,13.6746548897234,258546.7
15,casual,20020,33.2568056943057,665801.25
15,member,21878,13.6814608282293,299323
16,casual,21633,29.4648284257076,637412.633333333
16,member,28110,13.8506071386221,389340.566666667
17,casual,24992,35.0029769526248,874794.4
17,member,34964,13.8915908744232,485705.583333333
18,casual,22494,28.5534446222696,642281.183333333
18,member,29179,13.9063972948582,405774.766666667
19,casual,17562,30.500329309494,535646.783333333
19,member,20983,13.797039667032,289503.283333333
20,casual,12941,32.5009891043969,420595.3
20,member,14161,13.6228620860109,192913.35
21,casual,11071,29.3725002258152,325182.95
21,member,10731,13.5657394464635,145573.95
22,casual,10079,32.1763286701723,324305.216666667
22,member,8389,13.7449815234235,115306.65
23,casual,7843,27.8954864210124,218784.3
23,member,5610,13.3148395721925,74696.25
