end_station_name,member_casual,total_trips_end_station
Streeter Dr & Grand Ave,casual,7182
Millennium Park,casual,3429
Michigan Ave & Oak St,casual,3128
Kingsbury St & Kinzie St,member,2522
Wells St & Concord Ln,member,2514
Clark St & Elm St,member,2427
Theater on the Lake,casual,2261
Shedd Aquarium,casual,2247
Wells St & Elm St,member,2187
Dearborn St & Erie St,member,2008
Broadway & Barry Ave,member,1916
Wells St & Concord Ln,casual,1910
Clinton St & Madison St,member,1909
Wells St & Huron St,member,1903
DuSable Lake Shore Dr & North Blvd,casual,1889
St. Clair St & Erie St,member,1825
Green St & Madison St,member,1813
Clinton St & Washington Blvd,member,1775
Wabash Ave & Grand Ave,casual,1742
Clark St & Armitage Ave,member,1707
Clark St & Lincoln Ave,casual,1669
Lake Shore Dr & North Blvd,casual,1669
DuSable Lake Shore Dr & Monroe St,casual,1667
Wabash Ave & Grand Ave,member,1665
Lake Shore Dr & Monroe St,casual,1652
Indiana Ave & Roosevelt Rd,casual,1624
Clark St & Armitage Ave,casual,1606
Clark St & Lincoln Ave,member,1602
Wilton Ave & Belmont Ave,member,1594
Desplaines St & Kinzie St,member,1583
Streeter Dr & Grand Ave,member,1576
Dearborn Pkwy & Delaware Pl,member,1558
Wells St & Hubbard St,member,1541
Clark St & Elm St,casual,1534
Wells St & Elm St,casual,1532
Loomis St & Lexington St,member,1521
New St & Illinois St,casual,1499
Larrabee St & Webster Ave,member,1487
Ellis Ave & 60th St,member,1480
Clark St & Drummond Pl,member,1467
Wabash Ave & Roosevelt Rd,member,1465
Theater on the Lake,member,1460
Ashland Ave & Division St,member,1454
Michigan Ave & Oak St,member,1450
University Ave & 57th St,member,1447
Michigan Ave & Lake St,casual,1412
Clark St & Wrightwood Ave,member,1388
Wells St & Evergreen Ave,member,1380
Canal St & Adams St,member,1363
Larrabee St & Webster Ave,casual,1363
Clark St & Schiller St,member,1359
Sheffield Ave & Waveland Ave,casual,1358
Dusable Harbor,casual,1354
Kingsbury St & Erie St,member,1353
McClurg Ct & Erie St,member,1350
Clark St & Newport St,casual,1349
Michigan Ave & Washington St,casual,1348
Fairbanks Ct & Grand Ave,casual,1343
Sheffield Ave & Fullerton Ave,member,1342
