"","start_station_name","member_casual","total_trips_start_station"
"1","Streeter Dr & Grand Ave","casual",6984
"2","Millennium Park","casual",3340
"3","Michigan Ave & Oak St","casual",2915
"4","Kingsbury St & Kinzie St","member",2509
"5","Wells St & Concord Ln","member",2429
"6","Clark St & Elm St","member",2428
"7","Shedd Aquarium","casual",2208
"8","Theater on the Lake","casual",2137
"9","Wells St & Elm St","member",2129
"10","Wells St & Concord Ln","casual",1993
"11","Dearborn St & Erie St","member",1957
"12","Wells St & Huron St","member",1896
"13","St. Clair St & Erie St","member",1891
"14","Clinton St & Madison St","member",1814
"15","DuSable Lake Shore Dr & Monroe St","casual",1805
"16","Broadway & Barry Ave","member",1781
"17","Wabash Ave & Grand Ave","member",1751
"18","Lake Shore Dr & Monroe St","casual",1736
"19","Clinton St & Washington Blvd","member",1727
"20","Desplaines St & Kinzie St","member",1715
"21","Clark St & Lincoln Ave","casual",1707
"22","Green St & Madison St","member",1702
"23","Clark St & Armitage Ave","member",1668
"24","Wabash Ave & Grand Ave","casual",1654
"25","Wells St & Elm St","casual",1654
"26","Streeter Dr & Grand Ave","member",1640
"27","Indiana Ave & Roosevelt Rd","casual",1628
"28","Clark St & Lincoln Ave","member",1606
"29","Clark St & Elm St","casual",1603
"30","New St & Illinois St","casual",1589
"31","Wells St & Hubbard St","member",1586
"32","Theater on the Lake","member",1581
"33","DuSable Lake Shore Dr & North Blvd","casual",1570
"34","Clark St & Armitage Ave","casual",1528
"35","Wilton Ave & Belmont Ave","member",1517
"36","Dusable Harbor","casual",1515
"37","Clark St & Wrightwood Ave","member",1505
"38","Loomis St & Lexington St","member",1505
"39","Kingsbury St & Erie St","member",1479
"40","Michigan Ave & Oak St","member",1477
"41","Ellis Ave & 60th St","member",1474
"42","Ashland Ave & Division St","member",1452
"43","Michigan Ave & Washington St","casual",1441
"44","Larrabee St & Webster Ave","member",1439
"45","Fairbanks Ct & Grand Ave","member",1438
"46","Dearborn Pkwy & Delaware Pl","member",1435
"47","Michigan Ave & Lake St","casual",1409
"48","Lake Shore Dr & North Blvd","casual",1403
"49","Wells St & Evergreen Ave","member",1400
"50","Wabash Ave & Roosevelt Rd","member",1391
"51","Lincoln Ave & Fullerton Ave","member",1371
"52","Clark St & Drummond Pl","member",1366
"53","University Ave & 57th St","member",1359
"54","Larrabee St & Webster Ave","casual",1353
"55","Sheffield Ave & Fullerton Ave","member",1347
