day_week,member_casual,total_trips_day,mean_trip_time_day,sum_trip_time_day
domingo,casual,50410,37.3145834159889,1881028.15
domingo,member,40663,15.420265351794,627034.25
segunda-feira,casual,30599,32.6356362408358,998617.833333333
segunda-feira,member,46253,13.0060669938527,601569.616666667
terça-feira,casual,29001,27.6164615013275,800905
terça-feira,member,51162,12.4812989458322,638568.216666667
quarta-feira,casual,30008,25.4793371767529,764583.95
quarta-feira,member,52187,12.5515409329271,655027.266666667
quinta-feira,casual,30845,27.6627535527098,853257.633333333
quinta-feira,member,49836,12.4694374214089,621426.883333333
sexta-feira,casual,38278,30.223918874201,1156911.16666667
sexta-feira,member,47624,13.0115138025645,619660.333333333
sábado,casual,57669,34.302312334183,1978180.05
sábado,member,45403,14.9577902341255,679128.55
